Date,Close,Volume,Year,Month,Close_Lag1,Volume_Lag1,Close_Change,Volume_Change,Cluster
2008-04-08,12920,17081100,2008,4,13000.0,18348000.0,-80.0,-1266900.0,0
2008-04-10,13120,33709550,2008,4,12920.0,17081100.0,200.0,16628450.0,1
2008-04-11,13600,39799750,2008,4,13120.0,33709550.0,480.0,6090200.0,1
2008-04-14,13560,21013800,2008,4,13600.0,39799750.0,-40.0,-18785950.0,0
2008-04-15,13160,19635700,2008,4,13560.0,21013800.0,-400.0,-1378100.0,0
2008-04-16,13020,25146850,2008,4,13160.0,19635700.0,-140.0,5511150.0,1
2008-04-17,13220,20221950,2008,4,13020.0,25146850.0,200.0,-4924900.0,0
2008-04-18,13300,25224400,2008,4,13220.0,20221950.0,80.0,5002450.0,1
2008-04-21,13480,21483300,2008,4,13300.0,25224400.0,180.0,-3741100.0,0
2008-04-22,13500,18359750,2008,4,13480.0,21483300.0,20.0,-3123550.0,0
2008-04-23,13060,25400650,2008,4,13500.0,18359750.0,-440.0,7040900.0,1
2008-04-24,13220,25118900,2008,4,13060.0,25400650.0,160.0,-281750.0,1
2008-04-25,13800,50257700,2008,4,13220.0,25118900.0,580.0,25138800.0,1
2008-04-28,14320,38231450,2008,4,13800.0,50257700.0,520.0,-12026250.0,1
2008-04-29,14200,21729700,2008,4,14320.0,38231450.0,-120.0,-16501750.0,0
2008-04-30,14220,31382450,2008,4,14200.0,21729700.0,20.0,9652750.0,1
2008-05-01,14220,0,2008,5,14220.0,31382450.0,0.0,-31382450.0,0
2008-05-02,14620,50417500,2008,5,14220.0,0.0,400.0,50417500.0,1
2008-05-05,14620,0,2008,5,14620.0,50417500.0,0.0,-50417500.0,0
2008-05-06,14900,38358100,2008,5,14620.0,0.0,280.0,38358100.0,1
2008-05-07,14820,22328750,2008,5,14900.0,38358100.0,-80.0,-16029350.0,0
2008-05-08,14560,34440750,2008,5,14820.0,22328750.0,-260.0,12112000.0,1
2008-05-09,14180,29085550,2008,5,14560.0,34440750.0,-380.0,-5355200.0,1
2008-05-12,14180,0,2008,5,14180.0,29085550.0,0.0,-29085550.0,0
2008-05-13,14700,30044650,2008,5,14180.0,0.0,520.0,30044650.0,1
